Date,Freight_Rate_USD_per_ton,Coal_Price_USD_per_ton,Oil_Price_USD_per_barrel,USD_INR_Exchange_Rate,Rainfall_mm,Temperature_C,Month,Quarter,DayOfYear,Is_Monsoon,Rate_Lag1,Rate_Lag7,Rate_MA7,Rate_MA30
2024-05-05,13.55,124.50,102.00,85.20,16.5,36.0,5,2,126,0,13.35,13.35,13.45,12.88
2024-05-20,13.80,126.00,103.50,85.40,21.0,36.5,5,2,141,0,13.55,13.55,13.68,13.08
2024-06-05,14.50,130.00,107.50,85.70,82.5,35.0,6,2,157,1,13.80,13.80,14.08,13.48
2024-06-20,15.00,134.00,111.50,86.00,98.0,34.2,6,2,172,1,14.50,14.50,14.58,13.88
2024-07-05,15.50,138.00,115.50,86.30,110.5,33.5,7,3,187,1,15.00,15.00,15.08,14.28
2024-07-20,16.00,142.00,119.50,86.60,118.0,33.0,7,3,202,1,15.50,15.50,15.58,14.68
2024-08-05,16.20,144.00,121.50,86.80,112.5,33.2,8,3,218,1,16.00,16.00,15.95,15.08
2024-08-20,16.40,146.00,123.50,87.00,105.0,33.5,8,3,233,1,16.20,16.20,16.22,15.48
2024-09-05,15.80,141.00,118.50,86.70,85.0,34.2,9,3,249,1,16.40,16.40,16.08,15.88
2024-09-20,15.20,137.00,113.50,86.40,52.0,34.8,9,3,264,1,15.80,15.80,15.68,16.08
2024-10-05,14.60,132.00,108.50,86.00,15.0,35.0,10,4,279,0,15.20,15.20,15.28,16.08
2024-10-20,14.00,127.00,103.50,85.60,3.0,34.8,10,4,294,0,14.60,14.60,14.88,15.88
2024-11-05,13.50,123.00,99.50,85.30,0.0,34.2,11,4,310,0,14.00,14.00,14.38,15.68
2024-11-20,13.00,119.00,95.50,85.00,0.0,33.5,11,4,325,0,13.50,13.50,13.88,15.38
2024-12-05,12.50,115.00,91.50,84.70,0.0,32.8,12,4,340,0,13.00,13.00,13.38,15.08
2024-12-20,12.00,111.00,87.50,84.40,0.0,31.5,12,4,355,0,12.50,12.50,12.88,14.78
2025-01-05,12.20,112.50,89.00,84.55,0.0,30.8,1,1,5,0,12.00,12.00,12.32,14.58
2025-01-20,12.50,114.50,91.00,84.75,0.0,31.5,1,1,20,0,12.20,12.20,12.48,14.38
2025-02-05,12.80,116.50,93.00,84.95,1.5,32.2,2,1,36,0,12.50,12.50,12.68,14.28
2025-02-20,13.10,118.50,95.00,85.15,1.0,32.8,2,1,51,0,12.80,12.80,12.98,14.28
2025-03-10,13.40,120.50,97.00,85.35,2.0,33.5,3,1,69,0,13.10,13.10,13.28,14.28
2025-03-25,13.70,122.50,99.00,85.55,4.0,34.0,3,1,84,0,13.40,13.40,13.58,14.38
2025-04-10,13.95,124.50,101.00,85.75,7.5,34.8,4,2,100,0,13.70,13.70,13.88,14.48
2025-04-25,14.25,126.50,103.00,85.95,11.0,35.5,4,2,115,0,13.95,13.95,14.18,14.58
2025-05-10,14.55,128.50,105.00,86.15,17.0,36.2,5,2,130,0,14.25,14.25,14.48,14.78
2025-05-25,14.85,130.50,107.00,86.35,23.0,36.8,5,2,145,0,14.55,14.55,14.78,14.98
2025-06-10,15.70,135.00,111.00,86.70,88.0,35.2,6,2,161,1,14.85,14.85,15.18,15.28
2025-06-25,16.40,139.00,115.00,87.00,102.0,34.5,6,2,176,1,15.70,15.70,15.88,15.58
2025-07-10,17.10,143.00,119.00,87.30,112.0,34.0,7,3,191,1,16.40,16.40,16.58,15.98
2025-07-25,17.80,147.00,123.00,87.60,120.0,33.5,7,3,206,1,17.10,17.10,17.28,16.38
2025-08-10,18.20,149.00,125.00,87.80,115.0,33.8,8,3,222,1,17.80,17.80,17.78,16.78
2025-08-25,18.50,151.00,127.00,88.00,108.0,34.0,8,3,237,1,18.20,18.20,18.08,17.18
2025-09-10,17.80,145.00,121.00,87.70,75.0,34.8,9,3,253,1,18.50,18.50,17.92,17.48
2025-09-25,17.10,139.00,115.00,87.40,48.0,35.2,9,3,268,1,17.80,17.80,17.52,17.58
2025-10-10,16.40,133.00,109.00,87.00,12.0,35.5,10,4,283,0,17.10,17.10,17.12,17.58
2025-10-25,15.70,127.00,103.00,86.60,2.0,35.0,10,4,298,0,16.40,16.40,16.72,17.48
2025-11-10,15.00,121.00,97.00,86.20,0.0,34.5,11,4,314,0,15.70,15.70,16.22,17.28
2025-11-25,14.30,115.00,91.00,85.80,0.0,33.8,11,4,329,0,15.00,15.00,15.52,17.08
2025-12-10,13.60,109.00,85.00,85.40,0.0,33.0,12,4,344,0,14.30,14.30,14.82,16.78
2025-12-25,13.00,103.00,79.00,85.00,0.0,32.0,12,4,359,0,13.60,13.60,14.12,16.48
2026-01-10,13.25,105.00,81.00,85.20,0.0,31.2,1,1,10,0,13.00,13.00,13.32,16.18
2026-01-25,13.50,107.00,83.00,85.40,0.0,31.8,1,1,25,0,13.25,13.25,13.52,15.98
2026-02-10,13.80,109.00,85.00,85.60,1.5,32.5,2,1,41,0,13.50,13.50,13.72,15.88
2026-02-25,14.10,111.00,87.00,85.80,1.0,33.0,2,1,56,0,13.80,13.80,13.98,15.78
2026-03-15,14.40,113.00,89.00,86.00,2.5,33.8,3,1,74,0,14.10,14.10,14.28,15.68
2026-03-30,14.70,115.00,91.00,86.20,4.5,34.5,3,1,89,0,14.40,14.40,14.58,15.68
2026-04-15,15.00,117.00,93.00,86.40,8.5,35.2,4,2,105,0,14.70,14.70,14.88,15.68
2026-04-30,15.30,119.00,95.00,86.60,12.0,35.8,4,2,120,0,15.00,15.00,15.18,15.78
2026-05-15,15.65,121.00,97.00,86.80,19.0,36.2,5,2,135,0,15.30,15.30,15.48,15.98
2026-05-30,16.00,123.00,99.00,87.00,24.5,36.8,5,2,150,0,15.65,15.65,15.78,16.18
2026-06-15,17.00,128.00,103.00,87.40,90.0,35.0,6,2,166,1,16.00,16.00,16.48,16.48
2026-06-30,17.80,132.00,107.00,87.80,105.0,34.2,6,2,181,1,17.00,17.00,17.18,16.78
2026-07-15,18.60,136.00,111.00,88.20,115.5,33.8,7,3,196,1,17.80,17.80,17.88,17.18
2026-07-31,19.40,140.00,115.00,88.60,122.0,33.2,7,3,212,1,18.60,18.60,18.58,17.58
2026-08-15,19.80,142.00,117.00,88.80,118.5,33.5,8,3,227,1,19.40,19.40,19.08,17.98
2026-08-31,20.10,144.00,119.00,89.00,110.0,34.0,8,3,243,1,19.80,19.80,19.48,18.38
2026-09-02,19.50,139.00,114.00,88.70,80.0,34.5,9,3,245,1,20.10,20.10,19.58,18.58
